{RCūM, 3}
rasaśālāṃ prakurvīta sarvabādhāvivarjite | [RCūM, 3 1.1]
svarṇādyāpādanaṃ lohe dhūmavedhaḥ sa ucyate | [RCūM, 4 110.2]
mukhasthitarasenālpalohasya dhamanātkhalu | [RCūM, 4 111.1]
svarṇarūpyatvajananaṃ śabdavedhaḥ prakīrtitaḥ | [RCūM, 4 111.2]
viddhadravyasya sūtena kāluṣyādinivāraṇam | [RCūM, 4 112.1]
prakāśanaṃ ca varṇasya tadudghāṭanamīritam | [RCūM, 4 112.2]
kṣārāmlairauṣadhaiḥ sārdhaṃ bhāṇḍe ruddhvātiyatnataḥ | [RCūM, 4 113.1]
bhūmau nikhanyate yattatsvedanaṃ saṃprakīrtitam | [RCūM, 4 113.2]
rasasyauṣadhayuktasya bhāṇḍaṃ ruddhvātiyatnataḥ | [RCūM, 4 114.1]
sadāgniyutacullyantaḥ kṣepaḥ saṃnyāsa ucyate | [RCūM, 4 114.2]
dvāvetau svedasaṃnyāsau rasarājasya niścitam | [RCūM, 4 115.1]
guṇaprabhāvajananau śīghravyāptikarau tathā | [RCūM, 4 115.2]
rasanigamamahābdheḥ somadevaḥ samantāt sphuṭataraparibhāṣā nāma ratnāni hṛtvā | [RCūM, 4 116.1]
vyaracayadatiyatnāttair imāṃ kaṇṭhamālāṃ kalayati bhiṣagagryo maṇḍanārthaṃ sabhāyām | [RCūM, 4 116.2]
paṭhet paṭhitapāṭho'yamadhyāyo rasavādinaḥ | [RCūM, 4 117.1]
rasakarmāṇi kurvāṇo na sa muhyati kutracit | [RCūM, 4 117.2]
{RCūM, 5}
atha yantrāṇi vakṣyante rasatantrāṇyanekaśaḥ | [RCūM, 5 1.1]
samālokya samāsena somadevena sāmpratam | [RCūM, 5 1.2]
svedādikarma nirmātuṃ vārttikendraiḥ prayatnataḥ | [RCūM, 5 2.1]
yantryate pārado yasmāttasmādyantramitīritam | [RCūM, 5 2.2]
vibandhya sauṣadhaṃ sūtaṃ sabhūrje triguṇāmbare | [RCūM, 5 3.1]
rasapoṭṭalikāṃ kāṣṭhe dṛḍhaṃ baddhvā guṇena hi | [RCūM, 5 3.2]
saṃdhānapūrṇakumbhāntaḥ pralambanagatisthitām | [RCūM, 5 4.1]
adhastājjvālayedagniṃ tattaduktakrameṇa hi | [RCūM, 5 4.2]
dolāyantramidaṃ proktaṃ svedanākhyaṃ tadeva hi | [RCūM, 5 4.3]
khalvayantraṃ tridhā proktaṃ mardanādikakarmaṇi | [RCūM, 5 5.1]
nirudgārāśmajaś caikastadanyo lohasambhavaḥ | [RCūM, 5 5.2]
utsedhena daśāṅgulaḥ khalu kalātulyāṅgulāyāmavān | [RCūM, 5 6.1]
vistāreṇa navāṅgulo rasamitairnimnastathaivāṅgulaiḥ | [RCūM, 5 6.2]
kaṇṭho dvyaṅgulavistṛto 'timasṛṇo droṇyardhacandrākṛtiḥ | [RCūM, 5 7.1]
gharṣaścaiva daśāṅgulastu yadidaṃ khalvākhyayantraṃ smṛtam | [RCūM, 5 7.2]
asminpañcapalaḥ sūto mardanīyo viśuddhaye | [RCūM, 5 8.1]
tattadaucityayogena khalveṣvanyeṣu śodhayet | [RCūM, 5 8.2]
dvādaśāṅgulivistāraḥ khalvo bhavati vartulaḥ | [RCūM, 5 9.1]
caturaṅgulanimnaśca madhye 'timasṛṇīkṛtaḥ | [RCūM, 5 9.2]
mardakaścipiṭo'dhastāt sugrahaśca śikhopari | [RCūM, 5 10.1]
lauho navāṅgulaḥ khalvo nimnatvena ṣaḍaṅgulaḥ | [RCūM, 5 10.2]
mardako'ṣṭāṅgulaścaiva taptakhalvābhidho hy ayam | [RCūM, 5 11.1]
kṛtvā khalvākṛtiṃ cullīmaṅgāraiḥ paripūryatām | [RCūM, 5 11.2]
tasyāṃ niveśitaṃ khalvaṃ pārśve bhastrikayā dhamet | [RCūM, 5 12.1]
tasminvimarditā piṣṭī kṣārairamlaiśca saṃyutā | [RCūM, 5 12.2]
pradravatyativegena svedato nātra saṃśayaḥ | [RCūM, 5 13.1]
kṛtaḥ kāntāyasā so 'yaṃ bhavetkoṭiguṇottaraḥ | [RCūM, 5 13.2]
yatra lohamaye pātre pārśvayorvalayadvayam | [RCūM, 5 14.1]
tādṛksvalpataraṃ pātraṃ valayaprotakoṣṭhakam | [RCūM, 5 14.2]
pūrvapātropari nyasya svalpapātre parikṣipet | [RCūM, 5 15.1]
rasaṃ saṃmūrchitaṃ sthūlapātramāpūrya kāñjikaiḥ | [RCūM, 5 15.2]
dviyāmaṃ svedayedevaṃ rasotthāpanahetave | [RCūM, 5 16.1]
etatsyādvalabhīyantraṃ rasasādguṇyakāraṇam | [RCūM, 5 16.2]
sūkṣmakāntamaye pātre rasaḥ syādguṇavattaraḥ | [RCūM, 5 17.1]
aṣṭāṅgulamitā samyak vartulā cipaṭī tale | [RCūM, 5 17.2]
caturaṅgulataḥ kaṇṭhādadho droṇyā samanvitā | [RCūM, 5 18.1]
caturaṅgulavistāranimnayā dṛḍhabaddhayā | [RCūM, 5 18.2]
tatpidhānaghaṭī mūle ṣoḍaśāṅgulavistarā | [RCūM, 5 19.1]
navāṅgulakavistārakaṇṭhena ca samanvitā | [RCūM, 5 19.2]
pūrvaghaṭyāṃ rasaṃ kṣiptvā nyubjāṃ dadyāt parāṃ ghaṭīm | [RCūM, 5 20.1]
sordhvaṃ nimnaṃ ca parito dṛḍhapālikayānvitām | [RCūM, 5 20.2]
pālyāṃ droṇyāṃ kṣipettoyaṃ pāvakaṃ jvālayedadhaḥ | [RCūM, 5 21.1]
ūrdhvapātanayantraṃ hi nandinā parikīrtitam | [RCūM, 5 21.2]
uparyadhastanasthālyāṃ kṣipedanyāmadhomukhīm | [RCūM, 5 22.1]
sthālikāṃ cipaṭībhūtatalāntarliptapāradām | [RCūM, 5 22.2]
kṣiptvā tāṃ paṅkile garte jvālayenmūrdhni pāvakam | [RCūM, 5 23.1]
adhaḥpātanayantraṃ hi tadaitat parikīrtitam | [RCūM, 5 23.2]
kṣipedrasaṃ ghaṭe dīrghanatādhonālasaṃyute | [RCūM, 5 24.1]
tannālaṃ nikṣipedanyat ghaṭakukṣyantare khalu | [RCūM, 5 24.2]
tatra ruddhvā mṛdā samyagvadane ghaṭayoratha | [RCūM, 5 25.1]
adhastādrasakumbhasya jvālayettīvrapāvakam | [RCūM, 5 25.2]
itarasmin ghaṭe toyaṃ prakṣipet svādu śītalam | [RCūM, 5 26.1]
tiryakpātanayantraṃ hi vārttikair abhidhīyate | [RCūM, 5 26.2]
pātanātritayaṃ proktaṃ yantrāṇāṃ tritayaṃ khalu | [RCūM, 5 27.1]
pātanaiśca vinā sūto na tarāṃ doṣamujhati | [RCūM, 5 27.2]
tribhirevordhvapātaiśca kasmāddoṣānna mucyate | [RCūM, 5 28.1]
vibhāgena vipāke tu dravyeṇānyena yogataḥ | [RCūM, 5 28.2]
pātrāntaraparikṣepāt guṇāḥ syur vividhāḥ khalu | [RCūM, 5 29.1]
khaṇḍanyulūkhalāmbhobhis taṇḍulāḥ syur malojhitāḥ | [RCūM, 5 29.2]
pātenaiva mahāśuddhirnandinā parikīrtitā | [RCūM, 5 30.1]
viśālavadane bhāṇḍe toyapūrṇe niveśayet | [RCūM, 5 30.2]
kharparaṃ pṛthukaṃ samyak prasare tasya madhyame | [RCūM, 5 31.1]
ālavālaṃ viḍaiḥ kṛtvā tanmadhye pāradaṃ kṣipet | [RCūM, 5 31.2]
ūrdhvādhaśca viḍaṃ dattvā mallenārudhya yatnataḥ | [RCūM, 5 32.1]
puṭamaucityayogena dīyate tannigadyate | [RCūM, 5 32.2]
yantraṃ kacchapasaṃjñaṃ hi taduktaṃ rasajāraṇe | [RCūM, 5 33.1]
kṛtvā lohamayīṃ mūṣāṃ vṛntākākāradhāriṇīm | [RCūM, 5 33.2]
vitastyā saṃmitāṃ kāntalohena parinirmitām | [RCūM, 5 34.1]
muṇḍalohodbhavāṃ vāpi kaṇṭhādho dvyaṅgulādadhaḥ | [RCūM, 5 34.2]
dvyaṅgulaṃ valayaṃ dadyāt madhyadeśena kaṇṭhataḥ | [RCūM, 5 35.1]
pidhānadhārakaṃ ciñcāpattravistīrṇakaṅkaṇam | [RCūM, 5 35.2]
pidhānam antarāviṣṭaṃ saśikhaṃ śliṣṭasaṃdhikam | [RCūM, 5 36.1]
tale pravihitacchidraṃ bhāṇḍaṃ kṛtvā hy adhomukham | [RCūM, 5 36.2]
tatraināṃ lambayenmūrdhni nirudhya ca viśoṣya ca | [RCūM, 5 37.1]
sthālīkaṇṭhaṃ tato dadyāt puṭamagnividhāyakam | [RCūM, 5 37.2]
evaṃrūpaṃ bhavedyantramantarālikasaṃjñakam | [RCūM, 5 38.1]
anena kārayedgandhadrutiṃ garbhadrutiṃ tathā | [RCūM, 5 38.2]
tāpīṃ mūṣāṃ mṛdā kṛtvā dṛḍhāṃ cāratnimātrikām | [RCūM, 5 39.1]
sudṛḍhāṃ madhyadeśe ca dvyaṅgulacchidrasaṃyutām | [RCūM, 5 39.2]
kāntalohamayīṃ khārīṃ dadyād gandhasya copari | [RCūM, 5 40.1]
tāpikāṃ pūrayecchuddhasikatābhiḥ samantataḥ | [RCūM, 5 40.2]
tāṃ ca cullyāṃ samāropya kṣepaṃ kṣepaṃ viḍadravam | [RCūM, 5 41.1]
pādāṅguṣṭhamitajvālaṃ jvālayedanalaṃ tataḥ | [RCūM, 5 41.2]
lohābhrakādikaṃ sarvaṃ rasasya parijārayet | [RCūM, 5 42.1]
tāpikāyantramityuktaṃ sukaraṃ rasajāraṇe | [RCūM, 5 42.2]
sthālyāṃ vinikṣipya rasādi vastu svarṇādi khāryā prapidhāya bhūyaḥ | [RCūM, 5 43.1]
amlena cordhve lavaṇādi vastu cullyāṃ pacettat pratigarbhayantram | [RCūM, 5 43.2]
khārīṃ mallāntarasthālīṃ nirundhyādatiyatnataḥ | [RCūM, 5 44.1]
sthālyāṃ mṛdo'thavā khāryāṃ kṣiptvā vastu nirudhya ca | [RCūM, 5 44.2]
kṣiptvā cāmlādikaṃ ruddhvā pākaḥ syādgarbhayantrake | [RCūM, 5 45.1]
caṣakaṃ vartulaṃ lauhaṃ vinatāgrordhvadaṇḍakam | [RCūM, 5 45.2]
etaddhi pālikāyantraṃ balijāraṇahetave | [RCūM, 5 46.1]
catuḥprasthajalādhāraṃ caturaṅgulakānanam | [RCūM, 5 46.2]
ghaṭayantramiti proktaṃ tadāpyāyanake matam | [RCūM, 5 47.1]
vidhāya vartulaṃ gartaṃ mallamatra nidhāya ca | [RCūM, 5 47.2]
vinidhāyeṣṭikāṃ tatra madhye gartavatīṃ śubhām | [RCūM, 5 48.1]
gartasya paritaḥ kuryāt pālikāmaṅgulocchrayām | [RCūM, 5 48.2]
garte sūtaṃ vinikṣipya gartāsye vasanaṃ kṣipet | [RCūM, 5 49.1]
nikṣipya gandhakaṃ tatra mallenāsyaṃ nirudhya ca | [RCūM, 5 49.2]
mallapālikayormadhye mṛdā samyaṅnirudhya ca | [RCūM, 5 50.1]
vanopalaiḥ puṭaṃ deyaṃ kapotākhyaṃ na cādhikam | [RCūM, 5 50.2]
iṣṭikāyantrametaddhi gandhakaṃ tena jārayet | [RCūM, 5 51.1]
sthālikopari vinyasya sthālīṃ samyaṅnirudhya ca | [RCūM, 5 51.2]
ūrdhvasthālyāṃ jalaṃ kṣiptvā vahniṃ prajvālayedadhaḥ | [RCūM, 5 52.1]
etadvidyādharaṃ yantraṃ hiṅgulākṛṣṭihetave | [RCūM, 5 52.2]
yatra sthālyupari sthālīṃ nyubjāṃ dattvā nirudhya ca | [RCūM, 5 53.1]
yantraṃ ḍamarukākhyaṃ tadrasabhasmakṛte hitam | [RCūM, 5 53.2]
mallamadhye caredgartaṃ tatra sūtaṃ sagandhakam | [RCūM, 5 54.1]
gartasya paritaḥ kuḍyaṃ prakuryād dvyaṅgulocchrayam | [RCūM, 5 54.2]
tataścācchādayetsamyaggostanākāramūṣayā | [RCūM, 5 55.1]
samyak toyamṛdā ruddhvā samyaggartoccamānayā | [RCūM, 5 55.2]
tato jalaṃ vinikṣipya vahniṃ prajvālayedadhaḥ | [RCūM, 5 56.1]
nābhiyantramidaṃ proktaṃ nandinā sarvavedinā | [RCūM, 5 56.2]
anena jīryate sūto nirdhūmaḥ śuddhagandhakaḥ | [RCūM, 5 57.1]
lehavat kṛtabarbūrakvāthena parimarditam | [RCūM, 5 57.2]
jīrṇakiṭṭarajaḥ sūkṣmaṃ guḍacūrṇasamanvitam | [RCūM, 5 58.1]
iyaṃ hi jalamṛtproktā durbhedyā salilaiḥ khalu | [RCūM, 5 58.2]
khaṭikāpaṭukiṭṭaiśca mahiṣīdugdhamarditaiḥ | [RCūM, 5 59.1]
vahnimṛtsnā bhavedghoravahnitāpasahā khalu | [RCūM, 5 59.2]
etayā mṛtsnayā ruddho na gantuṃ kṣamate rasaḥ | [RCūM, 5 60.1]
vidagdhavanitāprauḍhapremṇā baddhaḥ pumāniva | [RCūM, 5 60.2]
nandī nāgārjunaścaiva brahmajyotirmunīśvaraḥ | [RCūM, 5 61.1]
vetti śrīsomadevaśca nāparaḥ pṛthivītale | [RCūM, 5 61.2]
mūṣāṃ mūṣodarāviṣṭām ādyantasamavartulām | [RCūM, 5 62.1]
cipiṭāṃ ca tale proktaṃ grastayantraṃ manīṣibhiḥ | [RCūM, 5 62.2]
sūtendrabandhanārthaṃ hi rasavidbhirudīritam | [RCūM, 5 63.1]
vṛntākākāramūṣe dve tayoḥ kaṇṭhādadhaḥ khalu | [RCūM, 5 63.2]
prādeśamātranalikā mṛdāliptasusaṃdhikā | [RCūM, 5 64.1]
tatraikasyāṃ kṣipet sūtam anyasyāṃ gandhacūrṇakam | [RCūM, 5 64.2]
nirudhya mūṣayor vaktraṃ vālukāyantrake kṣipet | [RCūM, 5 65.1]
adho'gniṃ jvālayedetattulāyantramudāhṛtam | [RCūM, 5 65.2]
śilātālakagandhāśmajāraṇāya prakīrtitam | [RCūM, 5 66.1]
sthālyāṃ tāmrādi nikṣipya mallenāsyaṃ nirudhya ca | [RCūM, 5 66.2]
pacyate sthālikāsaṃsthaṃ sthālīyantramitīritam | [RCūM, 5 67.1]
sthūlabhāṇḍodarasyāntar vālukāṃ nikṣipecchubhām | [RCūM, 5 67.2]
vitastipramitotsedhāṃ tatastatra niveśayet | [RCūM, 5 68.1]
apakvāṃ mṛnmayīṃ koṣṭhīṃ dvādaśāṅgulakocchrayām | [RCūM, 5 68.2]
ṣaḍaṅgulakavistīrṇāṃ madhye 'timasṛṇīkṛtām | [RCūM, 5 69.1]
pañcāṅgulapidhānaṃ ca tīkṣṇāgraṃ mukuṭākṛtim | [RCūM, 5 69.2]
na nyūnā nādhikā koṣṭhī kaṇṭhato masṛṇā bahiḥ | [RCūM, 5 70.1]
koṣṭhyāṃ ca nikṣipedgandhaṃ ṣaṭpalaṃ ślakṣṇacūrṇitam | [RCūM, 5 70.2]
tatastripādikāṃ lauhīṃ viniveśya sthirīkṛtām | [RCūM, 5 71.1]
tasyāṃ ca vinyaset khārīṃ lauhīṃ vā kāntalohajām | [RCūM, 5 71.2]
tasyāṃ sūtaṃ kṣipecchuddhaṃ palaviṃśatimānataḥ | [RCūM, 5 72.1]
jīrṇagandhakasūtaṃ ca bhāvayellaśunadravaiḥ | [RCūM, 5 72.2]
adhaḥśikhena pūrvoktapidhānena pidhāya ca | [RCūM, 5 73.1]
saṃdhibandhaṃ prakurvīta sudhāmṛtsnāguḍādibhiḥ | [RCūM, 5 73.2]
saṃdhibandhe viśuṣke ca kṣipedupari vālukāḥ | [RCūM, 5 74.1]
bhāṇḍavaktraṃ nirudhyātha jvālayettadadho'nalam | [RCūM, 5 74.2]
kharaṃ yāmatrayaṃ yāvattato gandhakasambhavaḥ | [RCūM, 5 75.1]
pidhānalagnadhūmo 'sau galitvā nipatedrase | [RCūM, 5 75.2]
evaṃ hi ṣaḍguṇaṃ gandhaṃ bhuktvā sūto guṇī bhavet | [RCūM, 5 76.1]
karoti kalpanirdiṣṭānviśiṣṭān sakalān guṇān | [RCūM, 5 76.2]
koṣṭhikāyantrametaddhi nandinā parikīrtitam | [RCūM, 5 77.1]
pañcāḍhavālukāpūrṇe bhāṇḍe nikṣipya yatnataḥ | [RCūM, 5 77.2]
pacyate rasagolādyaṃ vālukāyantramīritam | [RCūM, 5 78.1]
evaṃ lavaṇanikṣepāt proktaṃ lavaṇayantrakam | [RCūM, 5 78.2]
vidhāyāṣṭāṅgulaṃ pātraṃ lauhamaṣṭāṅgulocchrayam | [RCūM, 5 79.1]
kaṇṭhādho dvyaṅgule deśe jalādhāraṃ hi tatra ca | [RCūM, 5 79.2]
tiryaglohaśalākāśca tanvīstiryag vinikṣipet | [RCūM, 5 80.1]
tanūni svarṇapattrāṇi tāsāmupari vinyaset | [RCūM, 5 80.2]
pātrādho nikṣiped dhūmaṃ vakṣyamāṇamihaiva hi | [RCūM, 5 81.1]
tatpātraṃ nyubjapātreṇa chādayedapareṇa hi | [RCūM, 5 81.2]
mṛdā vilipya saṃdhiṃ ca vahniṃ prajvālayedadhaḥ | [RCūM, 5 82.1]
tena kṛṣṇāni pattrāṇi hatānyuktavidhānataḥ | [RCūM, 5 82.2]
rasaścarati vegena drutiṃ garbhadrutiṃ tathā | [RCūM, 5 83.1]
gandhālakaśilānāṃ hi kajjalyā vā mṛtāhinā | [RCūM, 5 83.2]
dhūpanaṃ svarṇapattrāṇāṃ paramaṃ parikīrtitam | [RCūM, 5 84.1]
tārārthaṃ tārapattrāṇi mṛtavaṅgena dhūpayet | [RCūM, 5 84.2]
dhūpayecca yathāyogyai rasairuparasairapi | [RCūM, 5 85.1]
dhūpayantramiti proktaṃ jāraṇādravyavāhane | [RCūM, 5 85.2]
sthūlasthālyāṃ dravaṃ kṣiptvā vāso baddhvā mukhe dṛḍham | [RCūM, 5 86.1]
tatra svedyaṃ vinikṣipya pidhānyā prapidhāya ca | [RCūM, 5 86.2]
adho'gniṃ jvālayettatra tatsyātkuṇḍakayantrakam | [RCūM, 5 87.1]
svedanaṃ yantramityetatprāhuranye manīṣiṇaḥ | [RCūM, 5 87.2]
yadvā sthālyāṃ jalaṃ kṣiptvā tṛṇaṃ dattvā mukhopari | [RCūM, 5 88.1]
svedyadravyaṃ vinikṣipya pidhānyā prapidhāya ca | [RCūM, 5 88.2]
adhastājjvālayed agnimetadvā kuṇḍayantrakam | [RCūM, 5 89.1]
bhāṇḍakaṇṭhādadhaśchidre veṇunālaṃ vinikṣipet | [RCūM, 5 89.2]
kāṃsyapātradvayaṃ kṣiptvā sampuṭaṃ jalagarbhitam | [RCūM, 5 90.1]
nālāsyaṃ tatra saṃyojya dṛḍhaṃ taccāpi kārayet | [RCūM, 5 90.2]
uktadravyairvinikṣiptaḥ pūrvaṃ tatra ghaṭe rasaḥ | [RCūM, 5 91.1]
agninā tāpito nālāt toye tasmin patatyadhaḥ | [RCūM, 5 91.2]
yāvaduṣṇaṃ bhavetsarvaṃ bhājanaṃ kiṃcideva hi | [RCūM, 5 92.1]
jāyate rasasaṃdhānaṃ ḍhekīyantram idaṃ bhavet | [RCūM, 5 92.2]
ūrdhvaṃ vahnir adhaścāpo madhye tu rasasaṃgrahaḥ | [RCūM, 5 93.1]
somānalam idaṃ proktaṃ jārayed gaganādikam | [RCūM, 5 93.2]
lohanālagataṃ sūtaṃ bhāṇḍe lavaṇapūrite | [RCūM, 5 94.1]
niruddhaṃ vipacetprājño nālikāyantramīritam | [RCūM, 5 94.2]
atha mūṣābhidhā mṛtsnā saṃsthānaṃ vividhākṛtiḥ | [RCūM, 5 95.1]
vidhinā viniyogaśca somadevena kīrtyate | [RCūM, 5 95.2]
mūṣā hi koṣṭhikā proktā kumudī karahārikā | [RCūM, 5 96.1]
pātanī vahnimitrā ca rasavādibhir īryate | [RCūM, 5 96.2]
muṣṇāti doṣānmūṣeyānsā mūṣeti nigadyate | [RCūM, 5 97.1]
upādānaṃ bhavettasyā mṛttikā lohameva ca | [RCūM, 5 97.2]
mūṣāmukhaviniṣkrāntā varamekāpi kākiṇī | [RCūM, 5 98.1]
durjanapraṇipātena dhig lakṣamapi māninām | [RCūM, 5 98.2]
mūṣāpidhānayor bandhe bandhanaṃ saṃdhilepanam | [RCūM, 5 99.1]
andhraṇaṃ randhraṇaṃ caiva saṃśliṣṭaṃ saṃdhibandhanam | [RCūM, 5 99.2]
mṛttikā pāṇḍurasthūlā śarkarā śoṇapāṇḍurā | [RCūM, 5 100.1]
cirādhmānasahā sā hi mūṣārthamati śasyate | [RCūM, 5 100.2]
tadabhāve ca vālmīkī kaulālī samudīryate | [RCūM, 5 100.3]
yā mṛttikā dagdhatuṣaiḥ śaṇena śikhitrakairvā hayaladdinā ca | [RCūM, 5 101.1]
lauhena daṇḍena ca kuṭṭitā sā sādhāraṇā syātkhalu mūṣikārthe | [RCūM, 5 101.2]
śvetāśmānastuṣā dagdhāḥ śikhitrāḥ śaṇakarpaṭe | [RCūM, 5 102.1]
laddiḥ kiṭṭaṃ yathāyogyaṃ saṃyojyā mūṣikāmṛdi | [RCūM, 5 102.2]
mṛdastribhāgaṃ śaṇaladdibhāgau bhāgaśca nirdagdhatuṣopalādeḥ | [RCūM, 5 103.1]
kiṭṭārdhabhāgaṃ parikhaṇḍya vajramūṣāṃ vidadhyātkhalu sattvapāte | [RCūM, 5 103.2]
dagdhāṅgāratuṣopetā mṛtsnā valmīkasambhavā | [RCūM, 5 104.1]
tattadviḍasamāyuktā tattadviḍavilepitā | [RCūM, 5 104.2]
tayā yā vihitā mūṣā yogamūṣeti kathyate | [RCūM, 5 105.1]
anayā sādhitaḥ sūto jāyate guṇavattaraḥ | [RCūM, 5 105.2]
gārabhūnāgadhautābhyāṃ śaṇairdagdhatuṣairapi | [RCūM, 5 106.1]
samaiḥ samā ca mūṣā mṛnmahiṣīdugdhamarditā | [RCūM, 5 106.2]
kothitā pakṣamātraṃ hi bahudhā parivartitā | [RCūM, 5 107.1]
tayā viracitā mūṣā vajradrāvaṇikeritā | [RCūM, 5 107.2]
dagdhaṣaḍguṇagārāḍhyā kiṭṭāṅgāraśaṇānvitā | [RCūM, 5 108.1]
kṛṣṇamṛdbhiḥ kṛtā mūṣā gāramūṣetyudāhṛtā | [RCūM, 5 108.2]
yāmayugmam atidhmānānnāsau dravati vahninā | [RCūM, 5 109.1]
vastrāṅgāratuṣāstulyāstaccaturguṇamṛttikā | [RCūM, 5 109.2]
gāraśca mṛttikātulyaḥ sarvairetair vimarditā | [RCūM, 5 110.1]
varamūṣeti nirdiṣṭā yāmaṃ vahniṃ saheta ca | [RCūM, 5 110.2]
raktavargarajoyuktā raktavargāmbubhāvitā | [RCūM, 5 111.1]
mṛt tayā lepitā mūṣā kṣitikhecaralepitā | [RCūM, 5 111.2]
varṇamūṣeti sā proktā varṇotkarṣe niyujyate | [RCūM, 5 112.1]
evaṃ hi śvetavargeṇa rūpyamūṣā prakīrtitā | [RCūM, 5 112.2]
tattadviḍamṛdodbhūtā tattadviḍavilepitā | [RCūM, 5 113.1]
dehalohārthayogārthaṃ viḍamūṣetyudāhṛtā | [RCūM, 5 113.2]
gārabhūnāgadhautābhyāṃ tuṣamaṣyā śaṇena ca | [RCūM, 5 114.1]
samaiḥ samā ca mūṣā mṛnmahiṣīdugdhamarditā | [RCūM, 5 114.2]
kothitā pakṣamātraṃ hi bahudhā parikīrtitā | [RCūM, 5 115.1]
tayā viracitā mūṣā liptā matkuṇaśoṇitaiḥ | [RCūM, 5 115.2]
balābdadhāvanīmūlair vajradrāvaṇakrauñcikā | [RCūM, 5 116.1]
sahate'gniṃ caturyāmaṃ drāvaṇe vyayitā satī | [RCūM, 5 116.2]
dravībhāvamupeyuḥ syānmūṣāyā dhmānayogataḥ | [RCūM, 5 117.1]
kṣaṇamuddharaṇaṃ yat tanmūṣāpyāyanam ucyate | [RCūM, 5 117.2]
vṛntākāramūṣāyāṃ nālaṃ dattvā daśāṅgulam | [RCūM, 5 118.1]
dhattūrapuṣpavaccordhvaṃ sudṛḍhaṃ śliṣṭapuṣpavat | [RCūM, 5 118.2]
aṣṭāṅgulaṃ ca sacchidraṃ sā syādvṛntākamūṣikā | [RCūM, 5 119.1]
anayā kharparādīnāṃ mṛdūnāṃ sattvamāharet | [RCūM, 5 119.2]
mūṣā yā gostanākārā śikhāyuktapidhānakā | [RCūM, 5 120.1]
sattvānāṃ drāvaṇe śuddhau sā mūṣā gostanī bhavet | [RCūM, 5 120.2]
nirdiṣṭā mallamūṣā yā malladvitayasampuṭāt | [RCūM, 5 121.1]
parpaṭyādirasādīnāṃ svedanāya prakīrtitā | [RCūM, 5 121.2]
kulālabhāṇḍarūpā yā dṛḍhā ca paripācitā | [RCūM, 5 122.1]
pakvamūṣeti sā proktā poṭalyādivipācane | [RCūM, 5 122.2]
nirvaktragolakākārā puṭanadravyagarbhiṇī | [RCūM, 5 123.1]
golamūṣeti sā proktā satvaraṃ dravyarodhinī | [RCūM, 5 123.2]
tale yā kūrparākārā kramād upari vistṛtā | [RCūM, 5 124.1]
sthūlavṛntākavatsthūlā mahāmūṣetyasau matā | [RCūM, 5 124.2]
sā cāyo'bhrakasattvādeḥ puṭāya drāvaṇāya ca | [RCūM, 5 124.3]
mañjūṣākāramūṣā yā nimnatāyāmavistarā | [RCūM, 5 125.1]
ṣaḍaṅgulapramāṇena mūṣā mañjūṣasaṃjñitā | [RCūM, 5 125.2]
bhūmau nikhanya tāṃ mūṣāṃ dadyātpuṭamathopari | [RCūM, 5 125.3]
mūṣā yā cipiṭā mūle vartulāṣṭāṅgulocchrayā | [RCūM, 5 126.1]
mūṣā sā muśalākhyā syāccakrībaddharase hitā | [RCūM, 5 126.2]
sattvānāṃ pātanārthāya pātitānāṃ viśuddhaye | [RCūM, 5 127.1]
koṣṭhikā vividhākārāstāsāṃ lakṣaṇamucyate | [RCūM, 5 127.2]
rājahastasamutsedhā tadardhāyāmavistarā | [RCūM, 5 128.1]
caturasrā ca kuḍyena veṣṭitā mṛnmayena hi | [RCūM, 5 128.2]
ekabhittau caredgartaṃ vitastyābhogasaṃmitam | [RCūM, 5 129.1]
dvāraṃ sārdhavitastyā ca saṃmitaṃ sudṛḍhaṃ śubham | [RCūM, 5 129.2]
dehalyadho vidhātavyaṃ dhamanāya yathocitam | [RCūM, 5 130.1]
prādeśapramitā bhittiruttaraṅgasya cordhvataḥ | [RCūM, 5 130.2]
dvāraṃ copari kartavyaṃ prādeśapramitaṃ khalu | [RCūM, 5 131.1]
tataśceṣṭikayā ruddhvā dvārasaṃdhiṃ vilipya ca | [RCūM, 5 131.2]
śikhitraistāṃ samāpūrya dhamedbhastrādvayena tu | [RCūM, 5 132.1]
śikhitrān dhamanadravyam ūrdhvadvāreṇa nikṣipet | [RCūM, 5 132.2]
sattvapātanagolāṃśca pañca pañca punaḥ punaḥ | [RCūM, 5 133.1]
bhavedaṅgārakoṣṭhīyaṃ kharāṇāṃ sattvapātinī | [RCūM, 5 133.2]
dṛḍhabhūmau caredgartaṃ vitastyā saṃmitaṃ śubham | [RCūM, 5 134.1]
vartulaṃ cātha tanmadhye gartamanyaṃ prakalpayet | [RCūM, 5 134.2]
caturaṅgulavistāranimnatvena samanvitam | [RCūM, 5 135.1]
gartāddharaṇiparyantaṃ tiryaṅnālasamanvitam | [RCūM, 5 135.2]
kiṃcitsamunnataṃ bāhye gartābhimukhanimnakam | [RCūM, 5 136.1]
mṛccakraṃ pañcarandhrāḍhyaṃ garbhagartopari kṣipet | [RCūM, 5 136.2]
āpūrya kokilaiḥ koṣṭhīṃ pradhamed ekabhastrayā | [RCūM, 5 137.1]
